codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia3,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista
78969,78969,78969,78969,78969,INCIDENTE,CAMPINAS,SP,*****,15/10/2019,22:18:00,NULL,FINALIZADA,0,1,NÃO
78067,78067,78067,78067,78067,INCIDENTE,SÃO PAULO,SP,****,21/03/2018,22:10:00,SIM,FINALIZADA,0,1,NÃO
51142,51142,51142,51142,51142,INCIDENTE,SÃO PAULO,SP,SBSP,22/01/2014,22:10:00,***,FINALIZADA,0,1,NÃO
80053,80053,80053,80053,80053,INCIDENTE,SÃO PAULO,SP,SBGR,13/03/2021,23:55:00,SIM,FINALIZADA,0,1,NÃO
78283,78283,78283,78283,78283,ACIDENTE,MOGI DAS CRUZES,SP,****,03/11/2018,22:08:00,SIM,ATIVA,0,1,NÃO
78702,78702,78702,78702,78702,INCIDENTE,GUARULHOS,SP,****,20/05/2019,22:06:00,SIM,FINALIZADA,0,1,NÃO
53064,53064,53064,53064,53064,INCIDENTE,BAURU,SP,SBBU,11/01/2015,22:05:00,***,FINALIZADA,0,1,NÃO
52068,52068,52068,52068,52068,INCIDENTE,JUNDIAÍ,SP,SBJD,16/09/2012,22:03:00,***,FINALIZADA,0,1,NÃO
60869,60869,60869,60869,60869,INCIDENTE,CAMPINAS,SP,SBKP,11/03/2016,22:02:00,SIM,FINALIZADA,0,1,NÃO
80206,80206,80206,80206,80206,INCIDENTE,CAMPINAS,SP,SBKP,23/07/2021,22:00:00,SIM,FINALIZADA,0,1,NÃO
80433,80433,80433,80433,80433,INCIDENTE,CAMPINAS,SP,SBKP,07/12/2021,22:00:00,SIM,FINALIZADA,0,1,NÃO
80152,80152,80152,80152,80152,INCIDENTE,SÃO PAULO,SP,SBSP,29/03/2021,22:00:00,SIM,FINALIZADA,0,1,NÃO
77501,77501,77501,77501,77501,INCIDENTE,GUARULHOS,SP,SBGR,21/09/2017,22:00:00,SIM,FINALIZADA,0,1,NÃO
60676,60676,60676,60676,60676,ACIDENTE,SOCORRO,SP,****,04/01/2016,22:00:00,SIM,NULL,0,1,NÃO
46977,46977,46977,46977,46977,ACIDENTE,PORTO FELIZ,SP,****,06/02/2013,22:00:00,***,FINALIZADA,0,1,NÃO
53287,53287,53287,53287,53287,INCIDENTE,GUARULHOS,SP,SBGR,30/04/2015,22:00:00,***,FINALIZADA,0,1,NÃO
47097,47097,47097,47097,47097,INCIDENTE,CAMPINAS,SP,SBKP,14/02/2013,22:00:00,***,FINALIZADA,0,1,NÃO
78551,78551,78551,78551,78551,ACIDENTE,BIRITIBA-MIRIM,SP,SDIH,23/02/2019,22:00:00,SIM,FINALIZADA,0,1,NÃO
47087,47087,47087,47087,47087,INCIDENTE,SÃO PAULO,SP,SBMT,27/02/2013,21:59:00,***,FINALIZADA,0,1,NÃO
51307,51307,51307,51307,51307,INCIDENTE,CAMPINAS,SP,SBKP,13/03/2014,21:57:00,***,FINALIZADA,0,1,NÃO
65936,65936,65936,65936,65936,INCIDENTE,SÃO JOSÉ DOS CAMPOS,SP,SBSJ,04/11/2016,21:55:00,SIM,FINALIZADA,0,1,NÃO
51143,51143,51143,51143,51143,INCIDENTE,SÃO PAULO,SP,SBMT,22/01/2014,21:55:00,***,FINALIZADA,0,1,NÃO
78839,78839,78839,78839,78839,ACIDENTE,GUARARAPES,SP,SDGR,29/11/2019,21:55:00,SIM,FINALIZADA,1,1,NÃO
46863,46863,46863,46863,46863,INCIDENTE GRAVE,BOITUVA,SP,****,11/01/2013,21:50:00,***,FINALIZADA,0,1,NÃO
66444,66444,66444,66444,66444,INCIDENTE GRAVE,SÃO PAULO,SP,SBSP,22/02/2017,21:48:00,SIM,FINALIZADA,1,1,SIM
80362,80362,80362,80362,80362,INCIDENTE,SÃO PAULO,SP,SBMT,05/11/2021,21:46:00,SIM,FINALIZADA,0,1,NÃO
60924,60924,60924,60924,60924,ACIDENTE,SÃO CARLOS,SP,SDSC,20/03/2016,21:45:00,SIM,FINALIZADA,0,1,SIM
51211,51211,51211,51211,51211,INCIDENTE,RIBEIRÃO PRETO,SP,SBRP,10/02/2014,21:44:00,***,FINALIZADA,0,1,NÃO
51457,51457,51457,51457,51457,INCIDENTE,CAMPINAS,SP,SBKP,26/04/2014,21:44:00,***,FINALIZADA,0,1,NÃO
66440,66440,66440,66440,66440,INCIDENTE,BRAGANÇA PAULISTA,SP,SBBP,20/02/2017,21:40:00,SIM,FINALIZADA,0,1,NÃO
49476,49476,49476,49476,49476,ACIDENTE,HERCULÂNDIA,SP,****,06/08/2013,21:40:00,***,FINALIZADA,0,1,NÃO
79345,79345,79345,79345,79345,ACIDENTE,VOTUPORANGA,SP,SBSR,14/05/2020,21:40:00,SIM,ATIVA,0,1,NÃO
80454,80454,80454,80454,80454,INCIDENTE GRAVE,ARAÇATUBA,SP,SBAU,29/12/2021,21:35:00,SIM,FINALIZADA,0,1,SIM
77281,77281,77281,77281,77281,INCIDENTE GRAVE,SÃO PAULO,SP,****,30/11/2017,21:33:00,SIM,FINALIZADA,0,2,NÃO
77685,77685,77685,77685,77685,ACIDENTE,ITAPETININGA,SP,****,12/02/2018,21:30:00,SIM,FINALIZADA,1,1,NÃO
52337,52337,52337,52337,52337,INCIDENTE,SÃO PAULO,SP,SBSP,11/09/2014,21:30:00,***,FINALIZADA,0,1,NÃO
60625,60625,60625,60625,60625,ACIDENTE,ITÁPOLIS,SP,SDIO,17/12/2015,21:30:00,SIM,FINALIZADA,1,1,SIM
53128,53128,53128,53128,53128,INCIDENTE,GUARULHOS,SP,SBGR,27/02/2015,21:27:00,***,FINALIZADA,0,1,NÃO
53509,53509,53509,53509,53509,INCIDENTE,CAMPINAS,SP,SBKP,01/10/2015,21:25:00,***,FINALIZADA,0,1,NÃO
47098,47098,47098,47098,47098,INCIDENTE,RIBEIRÃO PRETO,SP,SBRP,26/02/2013,21:20:00,***,FINALIZADA,0,1,NÃO
79071,79071,79071,79071,79071,INCIDENTE,CAMPINAS,SP,****,27/12/2019,21:20:00,SIM,FINALIZADA,0,1,NÃO
50995,50995,50995,50995,50995,ACIDENTE,POTIRENDABA,SP,****,26/03/2014,21:20:00,***,FINALIZADA,1,1,NÃO
80161,80161,80161,80161,80161,INCIDENTE,GUARULHOS,SP,SBGR,04/07/2021,21:20:00,SIM,FINALIZADA,0,1,NÃO
53207,53207,53207,53207,53207,INCIDENTE,SÃO PAULO,SP,SBSP,10/04/2015,21:18:00,***,FINALIZADA,0,1,NÃO
